Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Sutherland,56,29,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,NT,Darwin,16,10,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NT,Darwin,7,6,_Total
2018,Dec,Germany,_Total,_Total,_Total,NT,Darwin,20,14,_Total
2018,Dec,Iran,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NT,Darwin,15,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NT,Darwin,217,87,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Slovenia,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NT,Darwin,134,63,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NT,Northern Territory - Outback,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,QLD,Brisbane - East,12,12,_Total
2018,Dec,Solomon Islands,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,QLD,Brisbane - East,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,QLD,Brisbane - North,5,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,QLD,Brisbane - North,451,272,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Brisbane - North,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,QLD,Brisbane - North,19,8,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,QLD,Brisbane - North,8,7,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Brisbane - South,248,140,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Brisbane - South,26,13,_Total
2018,Dec,Dominican Republic,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,QLD,Brisbane - South,13,8,_Total
2018,Dec,Macau,_Total,_Total,_Total,QLD,Brisbane - South,30,15,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,QLD,Brisbane - South,33,20,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,QLD,Brisbane - South,170,65,_Total
2018,Dec,Sweden,_Total,_Total,_Total,QLD,Brisbane - South,14,7,_Total
2018,Dec,Tonga,_Total,_Total,_Total,QLD,Brisbane - South,4,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,QLD,Brisbane - South,15,7,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,QLD,Brisbane - West,10,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Brisbane - West,11885,6466,_Total
2018,Dec,Grenada,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Guinea,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,QLD,Brisbane - West,510,370,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,QLD,Brisbane - West,13,9,_Total
2018,Dec,Latvia,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,QLD,Brisbane - West,48,27,_Total
2018,Dec,Paraguay,_Total,_Total,_Total,QLD,Brisbane - West,13,4,_Total
2018,Dec,Poland,_Total,_Total,_Total,QLD,Brisbane - West,13,6,_Total
2018,Dec,Seychelles,_Total,_Total,_Total,QLD,Brisbane - West,4,4,_Total
2018,Dec,Solomon Islands,_Total,_Total,_Total,QLD,Brisbane - West,13,6,_Total
2018,Dec,Sweden,_Total,_Total,_Total,QLD,Brisbane - West,46,37,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,QLD,Brisbane - West,53,28,_Total
2018,Dec,United States of America,_Total,_Total,_Total,QLD,Brisbane - West,1058,569,_Total
2018,Dec,Argentina,_Total,_Total,_Total,QLD,Brisbane Inner City,84,64,_Total
2018,Dec,Australia,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,QLD,Brisbane Inner City,118,32,_Total
2018,Dec,Bosnia and Herzegovina,_Total,_Total,_Total,QLD,Brisbane Inner City,13,5,_Total
2018,Dec,Chile,_Total,_Total,_Total,QLD,Brisbane Inner City,501,373,_Total
2018,Dec,Denmark,_Total,_Total,_Total,QLD,Brisbane Inner City,55,50,_Total
2018,Dec,Fiji,_Total,_Total,_Total,QLD,Brisbane Inner City,43,22,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Brisbane Inner City,328,219,_Total
2018,Dec,Greece,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,QLD,Brisbane Inner City,317,166,_Total
2018,Dec,Ireland,_Total,_Total,_Total,QLD,Brisbane Inner City,46,25,_Total
2018,Dec,Jordan,_Total,_Total,_Total,QLD,Brisbane Inner City,22,8,_Total
2018,Dec,Kosovo,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,QLD,Brisbane Inner City,36,9,_Total
2018,Dec,Liechtenstein,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Madagascar,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Malawi,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Morocco,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Netherlands Antilles,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,North Macedonia,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,QLD,Brisbane Inner City,15,6,_Total
2018,Dec,Qatar,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,QLD,Brisbane Inner City,62,30,_Total
2018,Dec,Sierra Leone,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,QLD,Brisbane Inner City,50,24,_Total
2018,Dec,Turkey,_Total,_Total,_Total,QLD,Brisbane Inner City,236,152,_Total
2018,Dec,Uruguay,_Total,_Total,_Total,QLD,Brisbane Inner City,7,6,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Cairns,125,86,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Cairns,64,15,_Total
2018,Dec,Costa Rica,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,QLD,Cairns,5,4,_Total
2018,Dec,France,_Total,_Total,_Total,QLD,Cairns,32,15,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,QLD,Cairns,38,24,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,QLD,Cairns,19,9,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,QLD,Cairns,5,5,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,QLD,Cairns,265,102,_Total
2018,Dec,Sweden,_Total,_Total,_Total,QLD,Cairns,5,4,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,QLD,Cairns,5,4,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,QLD,Central Queensland,5,5,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,QLD,Central Queensland,6,6,_Total
2018,Dec,Belgium,_Total,_Total,_Total,QLD,Gold Coast,35,26,_Total
2018,Dec,Botswana,_Total,_Total,_Total,QLD,Gold Coast,8,5,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,QLD,Gold Coast,13,8,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,QLD,Gold Coast,209,149,_Total
2018,Dec,Iran,_Total,_Total,_Total,QLD,Gold Coast,57,15,_Total
2018,Dec,Iraq,_Total,_Total,_Total,QLD,Gold Coast,6,4,_Total
2018,Dec,Kiribati,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,QLD,Gold Coast,12,4,_Total
2018,Dec,Luxembourg,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Marshall Islands,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,QLD,Gold Coast,19,9,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Gold Coast,446,329,_Total
2018,Dec,Philippines,_Total,_Total,_Total,QLD,Gold Coast,497,347,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,QLD,Gold Coast,48,19,_Total
2018,Dec,Singapore,_Total,_Total,_Total,QLD,Gold Coast,83,38,_Total
2018,Dec,Slovenia,_Total,_Total,_Total,QLD,Gold Coast,50,24,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,QLD,Gold Coast,254,138,_Total
2018,Dec,Canada,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Colombia,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,QLD,Logan - Beaudesert,15,8,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,QLD,Logan - Beaudesert,10,5,_Total
2018,Dec,Brazil,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Denmark,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,11,8,_Total
2018,Dec,Germany,_Total,_Total,_Total,QLD,Moreton Bay - North,9,7,_Total
2018,Dec,Norway,_Total,_Total,_Total,QLD,Moreton Bay - North,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Moreton Bay - South,15,9,_Total
2018,Dec,Philippines,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2018,Dec,Argentina,_Total,_Total,_Total,QLD,Sunshine Coast,8,6,_Total
2018,Dec,Hungary,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Iraq,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,QLD,Sunshine Coast,60,20,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,QLD,Sunshine Coast,42,24,_Total
2018,Dec,Zambia,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2018,Dec,Azerbaijan,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Cyprus,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,QLD,Toowoomba,160,92,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,QLD,Toowoomba,31,18,_Total
2018,Dec,Peru,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,QLD,Toowoomba,33,8,_Total
2018,Dec,Swaziland,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,QLD,Toowoomba,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,QLD,Toowoomba,17,10,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,QLD,Toowoomba,5,4,_Total
2018,Dec,Albania,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Colombia,_Total,_Total,_Total,QLD,Townsville,5,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Israel,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,QLD,Townsville,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,QLD,Townsville,26,16,_Total
2018,Dec,India,_Total,_Total,_Total,QLD,Wide Bay,4,4,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Colombia,_Total,_Total,_Total,SA,Adelaide - Central and Hills,312,221,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,SA,Adelaide - Central and Hills,12,4,_Total
2018,Dec,Egypt,_Total,_Total,_Total,SA,Adelaide - Central and Hills,15,7,_Total
2018,Dec,Israel,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Kiribati,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Kyrgyzstan,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,SA,Adelaide - Central and Hills,6,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,SA,Adelaide - Central and Hills,9,5,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,SA,Adelaide - Central and Hills,34,21,_Total
2018,Dec,Philippines,_Total,_Total,_Total,SA,Adelaide - Central and Hills,335,175,_Total
2018,Dec,Singapore,_Total,_Total,_Total,SA,Adelaide - Central and Hills,377,131,_Total
2018,Dec,Somalia,_Total,_Total,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,SA,Adelaide - Central and Hills,1153,566,_Total
2018,Dec,Austria,_Total,_Total,_Total,SA,Adelaide - North,4,4,_Total
2020,Dec,_Total,_Total,_Total,"Agriculture, Environmental and Related Studies",QLD,Gold Coast,143,79,_Total
2019,Dec,_Total,_Total,_Total,Information Technology,QLD,Toowoomba,347,127,_Total
2020,Dec,_Total,_Total,_Total,Health,VIC,Geelong,365,137,_Total
2020,Dec,_Total,_Total,_Total,Natural and Physical Sciences,QLD,Brisbane Inner City,80,29,_Total
2019,Dec,_Total,_Total,_Total,Mixed Field Programmes,SA,Barossa - Yorke - Mid North,4,4,_Total
2020,Dec,_Total,_Total,_Total,Mixed Field Programmes,QLD,Toowoomba,78,42,_Total
2019,Dec,_Total,_Total,_Total,Management and Commerce,QLD,Brisbane Inner City,19516,10383,_Total
2018,Dec,_Total,_Total,_Total,Health,NSW,Southern Highlands and Shoalhaven,4,4,_Total
2019,Dec,_Total,_Total,_Total,Creative Arts,WA,Western Australia - Wheat Belt,4,4,_Total
2018,Dec,_Total,_Total,_Total,Natural and Physical Sciences,VIC,Latrobe - Gippsland,5,4,_Total
2018,Dec,_Total,_Total,_Total,Health,TAS,Launceston and North East,128,61,_Total
2019,Dec,_Total,_Total,_Total,Management and Commerce,VIC,Latrobe - Gippsland,4,4,_Total
2019,Dec,_Total,_Total,_Total,Society and Culture,NSW,Hunter Valley exc Newcastle,4,4,_Total
2018,Dec,_Total,_Total,_Total,Health,NT,Darwin,328,71,_Total
2019,Dec,_Total,_Total,_Total,Engineering and Related Technologies,NSW,Sydney - Outer South West,109,63,_Total
2020,Dec,_Total,_Total,_Total,Society and Culture,QLD,Brisbane Inner City,13488,8301,_Total
2019,Dec,_Total,_Total,_Total,Engineering and Related Technologies,QLD,Sunshine Coast,104,42,_Total
2019,Dec,_Total,_Total,_Total,Health,VIC,Mornington Peninsula,416,156,_Total
2019,Dec,_Total,_Total,_Total,Health,TAS,Hobart,412,148,_Total
2020,Dec,_Total,_Total,_Total,Architecture and Building,VIC,Melbourne - West,382,134,_Total
2020,Dec,_Total,_Total,_Total,Health,WA,Perth - North West,957,266,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,QLD,Gold Coast,10369,7837,_Total
2019,Dec,_Total,_Total,Advanced Diploma,_Total,QLD,Ipswich,4,4,_Total
2019,Dec,_Total,_Total,Junior Secondary Studies,_Total,QLD,Ipswich,119,87,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,QLD,Ipswich,335,275,_Total
2019,Dec,_Total,_Total,Doctoral Degree,_Total,QLD,Logan - Beaudesert,9,4,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,QLD,Logan - Beaudesert,255,202,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,QLD,Moreton Bay - South,8,8,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,QLD,Moreton Bay - South,21,17,_Total
2019,Dec,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Moreton Bay - South,25,17,_Total
2019,Dec,_Total,_Total,Bachelor Honours Degree,_Total,QLD,Toowoomba,222,65,_Total
2019,Dec,_Total,_Total,Certificate II,_Total,QLD,Toowoomba,15,15,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,QLD,Toowoomba,4,4,_Total
2019,Dec,_Total,_Total,Graduate Certificate,_Total,QLD,Townsville,4,4,_Total
2019,Dec,_Total,_Total,Doctoral Degree,_Total,QLD,Wide Bay,4,4,_Total
2019,Dec,_Total,_Total,Certificate II,_Total,SA,Adelaide - Central and Hills,4,4,_Total
2019,Dec,_Total,_Total,Junior Secondary Studies,_Total,SA,Adelaide - Central and Hills,454,245,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,SA,Adelaide - Central and Hills,7085,5200,_Total
2019,Dec,_Total,_Total,Graduate Certificate,_Total,SA,Adelaide - North,4,4,_Total
2019,Dec,_Total,_Total,Masters Degree (Coursework),_Total,SA,Adelaide - North,775,442,_Total
2019,Dec,_Total,_Total,Certificate III,_Total,SA,Adelaide - South,4,4,_Total
2019,Dec,_Total,_Total,Junior Secondary Studies,_Total,SA,Adelaide - South,370,245,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,SA,Adelaide - West,334,127,_Total
2019,Dec,_Total,_Total,Diploma,_Total,SA,Adelaide - West,130,77,_Total
2019,Dec,_Total,_Total,Senior Secondary Certificate of Education,_Total,SA,Adelaide - West,184,92,_Total
2019,Dec,_Total,_Total,Junior Secondary Studies,_Total,SA,Barossa - Yorke - Mid North,4,4,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,SA,South Australia - Outback,4,4,_Total
2019,Dec,_Total,_Total,Doctoral Degree,_Total,TAS,Hobart,493,116,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,TAS,Launceston and North East,131,119,_Total
2019,Dec,_Total,_Total,Doctoral Degree,_Total,VIC,Ballarat,21,4,_Total
2019,Dec,_Total,_Total,Doctoral Degree,_Total,VIC,Bendigo,21,4,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,VIC,Hume,4,4,_Total
2019,Dec,_Total,_Total,Senior Secondary Certificate of Education,_Total,VIC,Hume,135,25,_Total
2019,Dec,_Total,_Total,Associate Degree,_Total,VIC,Melbourne - Inner,859,415,_Total
2019,Dec,_Total,_Total,Graduate Certificate,_Total,VIC,Melbourne - Inner,558,495,_Total
2019,Dec,_Total,_Total,Certificate III,_Total,VIC,Melbourne - Inner East,196,131,_Total
2019,Dec,_Total,_Total,Bachelor Honours Degree,_Total,VIC,Melbourne - Inner South,102,22,_Total
2019,Dec,_Total,_Total,Masters Degree (Coursework),_Total,VIC,Melbourne - Inner South,8863,3535,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,VIC,Melbourne - North East,4342,1751,_Total
2019,Dec,_Total,_Total,Diploma,_Total,VIC,Melbourne - North East,1944,962,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,VIC,Melbourne - North East,6,5,_Total
2019,Dec,_Total,_Total,Certificate III,_Total,VIC,Melbourne - Outer East,50,50,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,VIC,Melbourne - Outer East,4,4,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,VIC,Melbourne - South East,5301,2131,_Total
2019,Dec,_Total,_Total,Senior Secondary Certificate of Education,_Total,VIC,Melbourne - South East,197,68,_Total
2019,Dec,_Total,_Total,Associate Degree,_Total,VIC,Melbourne - West,21,11,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,VIC,Melbourne - West,1261,559,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,VIC,Melbourne - West,4,4,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,VIC,Warrnambool and South West,19,15,_Total
2019,Dec,_Total,_Total,Junior Secondary Studies,_Total,WA,Bunbury,4,4,_Total
2019,Dec,_Total,_Total,Senior Secondary Certificate of Education,_Total,WA,Mandurah,4,4,_Total
2019,Dec,_Total,_Total,Bachelor Degree,_Total,WA,Perth - Inner,3213,1291,_Total
2019,Dec,_Total,_Total,Bachelor Honours Degree,_Total,WA,Perth - Inner,30,18,_Total
2019,Dec,_Total,_Total,Certificate I,_Total,WA,Perth - Inner,4,4,_Total
2019,Dec,_Total,_Total,Diploma,_Total,WA,Perth - Inner,4713,2605,_Total
2019,Dec,_Total,_Total,Senior Secondary Certificate of Education,_Total,WA,Perth - Inner,181,65,_Total
2019,Dec,_Total,_Total,Junior Secondary Studies,_Total,WA,Perth - North East,25,17,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,WA,Perth - North East,179,144,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,WA,Perth - North East,8,5,_Total
2019,Dec,_Total,_Total,Associate Degree,_Total,WA,Perth - North West,4,4,_Total
2019,Dec,_Total,_Total,Non AQF Award,_Total,WA,Perth - North West,1172,996,_Total
2019,Dec,_Total,_Total,Primary School Studies,_Total,WA,Perth - North West,23,12,_Total
2019,Dec,_Total,_Total,Advanced Diploma,_Total,WA,Perth - South East,72,57,_Total
2019,Dec,_Total,_Total,Doctoral Degree,_Total,WA,Perth - South East,604,105,_Total
2019,Dec,_Total,_Total,Graduate Diploma,_Total,WA,Perth - South East,72,57,_Total
2019,Dec,_Total,_Total,Masters Degree (Research),_Total,WA,Perth - South East,29,10,_Total
2019,Dec,_Total,_Total,Advanced Diploma,_Total,WA,Perth - South West,148,79,_Total
2019,Dec,_Total,_Total,Graduate Diploma,_Total,WA,Perth - South West,64,51,_Total
2019,Dec,_Total,_Total,Masters Degree (Research),_Total,WA,Perth - South West,9,4,_Total
2020,Dec,_Total,_Total,Doctoral Degree,_Total,ACT,Australian Capital Territory,1141,186,_Total
2020,Dec,_Total,_Total,Graduate Diploma,_Total,ACT,Australian Capital Territory,191,118,_Total
2020,Dec,_Total,_Total,Doctoral Degree,_Total,NSW,Central Coast,10,4,_Total
2020,Dec,_Total,_Total,Certificate IV,_Total,NSW,Central West,4,4,_Total
2020,Dec,_Total,_Total,Masters Degree (Research),_Total,NSW,Central West,4,4,_Total
2020,Dec,_Total,_Total,Bachelor Degree,_Total,NSW,Coffs Harbour - Grafton,19,10,_Total
2020,Dec,_Total,_Total,Diploma,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2020,Dec,_Total,_Total,Primary School Studies,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2020,Dec,_Total,_Total,Bachelor Degree,_Total,NSW,Illawarra,1417,449,_Total
2020,Dec,_Total,_Total,Primary School Studies,_Total,NSW,Illawarra,4,4,_Total
2020,Dec,_Total,_Total,Doctoral Degree,_Total,NSW,Murray,4,4,_Total
2020,Dec,_Total,_Total,Graduate Diploma,_Total,NSW,New England and North West,4,4,_Total
2020,Dec,_Total,_Total,Masters Degree (Research),_Total,NSW,New England and North West,7,4,_Total
2020,Dec,_Total,_Total,Doctoral Degree,_Total,NSW,Newcastle and Lake Macquarie,643,89,_Total
2020,Dec,_Total,_Total,Masters Degree (Coursework),_Total,NSW,Newcastle and Lake Macquarie,867,392,_Total
2020,Dec,_Total,_Total,Junior Secondary Studies,_Total,NSW,Richmond - Tweed,4,4,_Total
2020,Dec,_Total,_Total,Masters Degree (Research),_Total,NSW,Richmond - Tweed,11,5,_Total
